class,roc_auc
hesheit,0.9934099955771782
hide,0.9922199541612949
high,0.9998983618839641
home,0.9923889830391712
horse,1.0
hot,0.9942397095252639
hungry,0.9920886206754019
icecream,0.9992664445399828
if,0.9822822661509812
into,0.972183426443203
jacket,0.9934826562203829
jeans,0.968876898888097
jump,0.9940926623457419
kiss,0.9940616938950989
kitty,0.9891665818317554
lamp,0.9859884597179107
later,0.999819018855973
like,0.9690720191840012
lion,0.9843734093454137
lips,0.9987962166809975
listen,0.9939945184866723
look,0.9958812132461861
loud,0.9993001489724387
mad,0.9885557704706641
make,0.9976219905417025
man,0.9994571432508026
many,0.9998275023470993
milk,0.9973768084801604
minemy,0.9740038738641942
mitten,0.9969769135271929
mom,0.9974436413406178
moon,0.9987868607689436
morning,0.9636948649519833
mouse,0.9994730260104923
mouth,0.9982806791317429
nap,0.9941152849887452
napkin,0.9953595227858986
night,0.97312503948948
no,0.9804274027976618
noisy,0.9986894403265657
nose,0.999782204037066
not,0.9860959057262914
now,0.9997270290597894
nuts,0.9887264270901335
old,0.9823089323357995
on,0.9875763978417611
open,0.9441191567588215
orange,0.9809834800699927
outside,0.9961400115375479
owie,0.971902903117987
owl,0.9979874247635425
pajamas,0.9714352636437537
pen,0.9856271496130696
pencil,0.997966789960071
penny,0.9992945617878449
person,0.9990024350283856
pig,0.9994843699645504
pizza,0.9967110920034394
please,0.9996352098815704
police,0.9583913038560296
pool,0.9934882777061549
potty,0.9811825729324923
pretend,0.9850171969045571
pretty,0.9971589578252662
puppy,0.9356812915304699
puzzle,0.9963322170973653
quiet,0.9942701618679273
radio,0.9857920335083151
rain,0.9915437087458148
read,0.9864156039470251
red,0.9762480303681421
refrigerator,0.9574587729828774
ride,0.9788683894610475
room,0.989830380504067
sad,0.9996803483101172
same,0.9843951439621831
say,0.9982014998812311
scissors,0.9929451367998854
see,0.9931936234999104
shhh,0.9999265906880287
shirt,0.9459631999754462
shoe,0.9994997160965579
shower,0.9965152645930555
sick,0.9938438132727047
sleep,0.9895681337450655
sleepy,0.9980048397710678
smile,0.9810227117630148
snack,0.996007103509903
snow,0.9972343818928365
stairs,0.9941661859355028
stay,0.9900249448976215
sticky,0.996499652492576
store,0.998554978678159
story,0.9932105738488032
stuck,0.9670607915694373
sun,0.993882528003968
table,0.9692934066255945
talk,0.9902947133468358
taste,0.9944584521693602
thankyou,0.9935484861040774
that,0.9932584523849921
there,0.9786265100510911
think,0.997847862329324
thirsty,0.9817242037912429
tiger,0.9851609969825982
time,0.9585519762805677
tomorrow,0.998578101103625
tongue,0.9988659695363606
tooth,0.9984458314388459
toothbrush,0.9974042078287108
touch,0.9905244236392834
toy,0.9650684314915539
tree,0.9867742373341477
uncle,0.9998898323301806
underwear,0.9687070760456384
up,0.9971644690612987
vacuum,0.9870697568089004
wait,0.995979313414054
wake,0.9803202923473775
water,0.999605946623679
wet,0.9706972496776967
weus,0.992493299144207
where,0.9989516754317441
white,0.9952375282771758
who,0.9791648642058817
why,0.9994107085309148
will,0.9682714841197705
wolf,0.9882814709242481
yellow,0.9986567805716742
yes,0.9972796271788433
yesterday,0.996917992261393
yourself,0.9946182780143017
yucky,0.9791002993968504
zebra,0.9981110093092176
zipper,0.9791031422231765
