class,precision,recall,f1-score,support
lion,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
lips,0.7941176470588235,0.675,0.7297297297297297,40.0
listen,0.9411764705882353,0.8,0.8648648648648649,40.0
look,0.9354838709677419,0.7073170731707317,0.8055555555555556,41.0
loud,0.775,0.8378378378378378,0.8051948051948052,37.0
mad,0.9166666666666666,0.868421052631579,0.8918918918918919,38.0
make,0.9117647058823529,0.775,0.8378378378378378,40.0
man,0.8095238095238095,0.8717948717948718,0.8395061728395061,39.0
many,0.8333333333333334,0.9210526315789473,0.875,38.0
milk,0.85,0.9444444444444444,0.8947368421052632,36.0
minemy,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
mitten,0.90625,0.8055555555555556,0.8529411764705882,36.0
mom,0.7619047619047619,0.8421052631578947,0.8,38.0
moon,0.8947368421052632,0.8947368421052632,0.8947368421052632,38.0
morning,0.7631578947368421,0.7837837837837838,0.7733333333333333,37.0
mouse,0.7954545454545454,0.8536585365853658,0.8235294117647058,41.0
mouth,0.7692307692307693,0.7894736842105263,0.7792207792207793,38.0
nap,0.7777777777777778,0.7368421052631579,0.7567567567567568,38.0
napkin,0.9166666666666666,0.825,0.868421052631579,40.0
night,0.5909090909090909,0.7647058823529411,0.6666666666666666,34.0
no,0.8787878787878788,0.7837837837837838,0.8285714285714286,37.0
noisy,0.7297297297297297,0.7714285714285715,0.75,35.0
nose,0.918918918918919,0.918918918918919,0.918918918918919,37.0
not,0.8,0.8648648648648649,0.8311688311688312,37.0
now,0.875,0.9459459459459459,0.9090909090909091,37.0
nuts,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
old,0.8611111111111112,0.7948717948717948,0.8266666666666667,39.0
on,0.6136363636363636,0.75,0.675,36.0
open,0.7407407407407407,0.5555555555555556,0.6349206349206349,36.0
orange,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
outside,0.7837837837837838,0.7631578947368421,0.7733333333333333,38.0
owie,0.8378378378378378,0.8611111111111112,0.8493150684931506,36.0
owl,0.9024390243902439,0.925,0.9135802469135802,40.0
pajamas,0.9032258064516129,0.717948717948718,0.8,39.0
pen,0.6388888888888888,0.575,0.6052631578947368,40.0
pencil,0.6585365853658537,0.7105263157894737,0.6835443037974683,38.0
penny,0.8292682926829268,0.8717948717948718,0.85,39.0
person,0.7567567567567568,0.9032258064516129,0.8235294117647058,31.0
pig,0.8611111111111112,0.8857142857142857,0.8732394366197183,35.0
pizza,0.868421052631579,0.825,0.8461538461538461,40.0
please,0.9230769230769231,0.9473684210526315,0.935064935064935,38.0
police,0.967741935483871,0.7894736842105263,0.8695652173913043,38.0
pool,0.7317073170731707,0.8333333333333334,0.7792207792207793,36.0
potty,0.7368421052631579,0.8,0.7671232876712328,35.0
pretend,0.8378378378378378,0.775,0.8051948051948052,40.0
pretty,0.7906976744186046,0.8717948717948718,0.8292682926829268,39.0
puppy,0.75,0.6,0.6666666666666666,35.0
puzzle,0.7,0.8235294117647058,0.7567567567567568,34.0
quiet,0.8285714285714286,0.8055555555555556,0.8169014084507042,36.0
radio,0.925,0.9487179487179487,0.9367088607594937,39.0
rain,0.7380952380952381,0.8378378378378378,0.7848101265822784,37.0
read,0.7631578947368421,0.8285714285714286,0.7945205479452054,35.0
red,0.8529411764705882,0.8055555555555556,0.8285714285714286,36.0
refrigerator,0.8235294117647058,0.8235294117647058,0.8235294117647058,34.0
ride,0.7419354838709677,0.6764705882352942,0.7076923076923077,34.0
room,0.7435897435897436,0.7837837837837838,0.7631578947368421,37.0
sad,0.9166666666666666,0.8461538461538461,0.88,39.0
same,0.8648648648648649,0.8888888888888888,0.8767123287671232,36.0
say,0.6818181818181818,0.7894736842105263,0.7317073170731707,38.0
scissors,0.7692307692307693,0.8333333333333334,0.8,36.0
see,0.8409090909090909,0.9487179487179487,0.891566265060241,39.0
shhh,0.9090909090909091,0.975609756097561,0.9411764705882353,41.0
shirt,0.7368421052631579,0.8,0.7671232876712328,35.0
shoe,0.7674418604651163,0.9428571428571428,0.8461538461538461,35.0
shower,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0
sick,0.9444444444444444,0.8947368421052632,0.918918918918919,38.0
sleep,0.627906976744186,0.7105263157894737,0.6666666666666666,38.0
sleepy,0.6904761904761905,0.7073170731707317,0.6987951807228916,41.0
smile,0.9310344827586207,0.7297297297297297,0.8181818181818182,37.0
snack,0.7380952380952381,0.8157894736842105,0.775,38.0
snow,0.875,0.9210526315789473,0.8974358974358975,38.0
stairs,0.8787878787878788,0.7631578947368421,0.8169014084507042,38.0
stay,0.6976744186046512,0.8108108108108109,0.75,37.0
sticky,0.6388888888888888,0.6764705882352942,0.6571428571428571,34.0
store,0.8292682926829268,0.8947368421052632,0.8607594936708861,38.0
story,0.775,0.8378378378378378,0.8051948051948052,37.0
stuck,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
sun,0.85,0.8717948717948718,0.8607594936708861,39.0
table,0.7142857142857143,0.7575757575757576,0.7352941176470589,33.0
talk,0.8048780487804879,0.8461538461538461,0.825,39.0
taste,0.8292682926829268,0.8717948717948718,0.85,39.0
thankyou,0.868421052631579,0.9428571428571428,0.9041095890410958,35.0
